"","Sample","Joint.Location","Pathotype","Seropositivity","GCTreatment","Protocol","Sex","Age"
"Z98884.2",0.0325110184535848,0.00621561810792981,0.000634784657105314,0.000193694189254412,0.0023987815109594,0.000477085093542051,0.000325319907645838,0.00327081222111225
"PER3",5.88971029811333,1.02586298225016,0.211126412389828,0.370783145767617,0.00180192338467,0.90262951202944,0.739388297978583,0.0158275232246652
"Z98884.1",0.148873828990348,0.0215934869931766,0.0155605366090494,0.00105311711029454,0.0223540660128196,0.0301739961513947,0.00281791847461799,0.0130170851730838
"UTS2",3.31065014868488,0.34718324522931,0.4250609442076,0.142455189372748,0.0636906617551336,0.270644807110454,0.230600092573863,0.515039378047832
"TNFRSF9",0.795692531866299,0.0449468856049906,0.184307049224219,0.0271000312138447,0.035880782499742,0.00269178488861987,0.00282013697874284,0.00853858538740759
"PARK7",5.01005076682186,1.46039899069041,0.371003005644976,0.035057818326456,0.976693458904432,0.0642147518887026,1.14515976474828,1.12902771829601
"AL034417.4",1.30612105183461,0.164262902696799,0.188375982697675,0.00833778680611186,0.108834908099176,0.0252730920420441,0.450430635795951,0.00304377606233919
"AL034417.3",1.13723713798133,0.0573963808412015,0.218762900001024,0.194955367847138,0.0712168229877519,0.0851978567465217,0.0157543643805491,0.0694765507979644
"ERRFI1",3.57762504126767,0.124257298217612,0.262195084682637,0.280601508235134,0.329235776693149,0.0774603810399399,0.0109793337177755,0.065592319623542
"AL034417.2",0.753894146597145,0.0483257515954016,0.053869364643977,0.0765865887299766,0.206739205485773,0.000101773655991622,0.000804875767301816,0.00786514156463358
"LINC01714",0.0990549718813738,0.00825059595941369,0.00745482205964931,0.022167155454289,6.04765082456993e-06,0.00727572305000423,0.00985876558379228,0.00692071605502553
"AL358876.2",0.124904817882165,0.0196349073495417,0.0274312842269198,0.0118734967600398,0.00370006800058942,0.00844396087491539,0.00413713236363522,0.00312304698987242
"SLC45A1",0.118803077310004,0.00219476180007838,0.0116366485415353,0.0176622117122438,0.00747954903841386,0.0194061376756594,0.0164568270695664,0.00105796154891147
"RERE",1.86008304214258,0.0573742542890998,0.118624875804407,0.115281912968856,0.0121176223528807,0.00440464057969159,0.290049548531013,0.169995130613176
"RERE-AS1",0.0418369912851158,0.00230388919821856,0.00797088593642581,0.00160263410985406,0.000420916338395028,0.0040500402006205,0.0033864005007489,0.000238666935570286
